Policy_ID,Policy_Type,GDP_Growth (%),Employment (%),Inflation (%),Healthcare_Index,Education_Index,Carbon_Emissions (MT),Applied (1/0)
1,Startup Promotion,-0.6,1.0,0.1,68,66,166,0
2,Privatization Policy,0.7,-0.4,0.1,92,98,83,0
3,Digital Economy Boost,1.6,0.6,0.1,97,77,183,0
4,Healthcare Reform,1.8,0.2,-0.0,81,66,91,1
5,Education Subsidy,0.4,0.2,0.2,62,89,148,0
6,Infrastructure Investment,-0.7,0.1,0.8,83,96,104,0
7,Tax Increase,1.6,1.0,1.5,74,66,128,1
8,Agricultural Support,1.5,0.2,0.4,73,77,169,0
9,Privatization Policy,1.5,0.6,0.1,89,84,114,0
10,Startup Promotion,0.3,1.0,-0.2,62,80,131,1
11,Education Subsidy,-0.2,1.4,1.3,80,73,163,1
12,Infrastructure Investment,2.5,0.8,-0.0,68,75,175,1
13,Digital Economy Boost,1.3,1.3,0.4,74,68,145,1
14,Education Subsidy,2.0,1.2,-0.0,70,87,156,0
15,Infrastructure Investment,0.5,1.5,0.7,95,60,167,0
16,Startup Promotion,2.5,1.0,1.1,81,67,117,1
17,Healthcare Reform,0.8,1.4,1.3,76,92,177,0
18,Welfare Scheme,2.7,1.2,0.2,100,92,157,0
19,Healthcare Reform,0.5,-0.2,1.4,93,60,156,1
20,Agricultural Support,-0.9,1.4,1.3,79,75,87,0
21,Privatization Policy,2.8,-0.3,0.6,64,94,178,0
22,Healthcare Reform,1.6,1.4,-0.0,93,98,134,0
23,Welfare Scheme,2.0,0.9,1.0,85,83,136,1
24,Education Subsidy,-0.0,-0.4,-0.3,95,74,155,0
25,Tax Increase,-0.7,0.8,0.1,62,81,89,0
26,Green Energy Incentive,1.7,-0.1,-0.1,96,96,140,0
27,Agricultural Support,2.2,-0.1,-0.1,87,82,134,1
28,Agricultural Support,2.5,-0.4,0.9,66,63,131,1
29,Education Subsidy,-0.0,-0.1,0.5,87,71,115,1
30,Trade Liberalization,2.5,-0.3,1.2,95,66,86,0
31,Education Subsidy,2.7,1.2,-0.0,91,90,107,1
32,Tax Increase,-0.3,-0.5,0.4,89,78,134,1
33,Healthcare Reform,-0.2,-0.1,-0.2,94,63,175,1
34,Tax Increase,-0.8,0.5,1.4,93,70,87,0
35,Healthcare Reform,-0.7,-0.4,1.3,85,67,200,0
36,Privatization Policy,1.4,0.7,0.5,97,96,146,1
37,Green Energy Incentive,-0.2,0.9,0.1,85,68,165,1
38,Agricultural Support,0.3,1.0,-0.2,89,99,152,0
39,Education Subsidy,1.2,0.5,-0.1,82,64,192,0
40,Subsidy Removal,0.1,0.4,0.7,79,99,183,0
41,Startup Promotion,2.3,0.1,0.9,68,76,94,0
42,Digital Economy Boost,1.2,0.0,0.8,81,73,167,1
43,Welfare Scheme,1.0,1.3,1.2,65,100,134,1
44,Tax Increase,-1.0,1.0,0.8,76,70,174,1
45,Welfare Scheme,1.8,0.6,-0.1,69,94,84,1
46,Privatization Policy,1.2,0.4,-0.2,83,62,195,1
47,Trade Liberalization,1.7,0.8,0.3,95,86,159,0
48,Trade Liberalization,2.5,1.5,1.2,86,61,102,1
49,Infrastructure Investment,2.2,1.2,1.2,77,70,180,0
50,Infrastructure Investment,2.5,1.2,0.1,89,82,119,0
51,Trade Liberalization,-0.9,-0.1,0.3,64,77,124,1
52,Startup Promotion,2.9,0.6,1.4,67,76,102,1
53,Tax Increase,-0.6,0.4,1.0,80,87,157,0
54,Infrastructure Investment,2.6,-0.1,-0.2,87,60,146,0
55,Subsidy Removal,0.7,1.4,1.4,99,80,164,0
56,Digital Economy Boost,2.6,0.5,0.9,80,85,169,1
57,Welfare Scheme,-0.5,0.3,1.4,71,99,152,1
58,Infrastructure Investment,1.2,-0.5,0.2,87,97,157,1
59,Agricultural Support,0.8,0.9,0.6,70,65,116,1
60,Education Subsidy,2.3,1.0,0.9,74,72,98,0
61,Tax Increase,-0.0,0.5,1.2,64,89,133,0
62,Digital Economy Boost,1.8,0.5,0.1,60,66,179,1
63,Trade Liberalization,-0.3,1.4,0.6,63,95,111,0
64,Agricultural Support,-0.5,0.4,0.7,95,98,120,1
65,Privatization Policy,2.3,1.3,0.5,95,88,194,0
66,Digital Economy Boost,2.4,0.4,1.1,100,77,178,1
67,Startup Promotion,-0.0,0.4,1.0,75,77,122,1
68,Welfare Scheme,-0.7,-0.2,0.4,69,73,88,1
69,Infrastructure Investment,0.3,0.4,-0.2,86,84,195,0
70,Privatization Policy,0.5,-0.5,0.3,84,86,148,0
71,Agricultural Support,-0.1,0.4,-0.2,81,85,172,0
72,Agricultural Support,2.7,1.5,0.7,85,97,152,0
